pull_req_id,github_id,useful,requester,created_at,num_commits_open,lines_modified_open,files_modified_open,commits_on_files_touched,branch_hotness,branch_commits,branch
36954508,25948,useless,weikaiiii,1522087273,1,3,1,0,95.16591576646083,278,v4-dev
36942732,25945,useful,Johann-S,1522065441,5,221,7,11.092453832304528,95.94643222736623,278,v4-dev
36928305,25944,useful,ysds,1522047345,1,5,1,2.036410622427984,96.59338284465024,278,v4-dev
36866107,25934,useless,ptrkcsk,1521896696,1,1734,11,17.766389403292184,100.95954449588469,277,v4-dev
36839715,25933,useful,swrobel,1521818507,1,2,1,0.8786869855967079,103.775787808642,285,v4-dev
36824710,25930,useless,techonomics69,1521793468,2,1,3,0,104.69349807098763,285,v4-dev
36816030,25929,useful,Johann-S,1521783040,2,48,3,17.29091988168724,105.07692013888892,286,v4-dev
36814294,25928,useless,bear0702,1521780968,1,1,1,0,105.15317785493829,287,v4-dev
36812578,25927,useless,bear0702,1521778806,1,1,1,0,105.2329738940329,287,v4-dev
36809407,25925,useless,Varunram,1521773933,1,1,1,1.2926400462962961,105.41370383230455,289,v4-dev
36806443,25924,useless,Varunram,1521768880,1,2,1,0.9065583847736626,105.60150180041148,289,v4-dev
36783518,25921,useless,massiws,1521730891,250,7791,154,55.178819701646084,107.04838721707814,297,v4-dev
36757040,25919,useful,coliff,1521701985,2,44,2,1.1572308384773664,108.15319380144031,298,v4-dev
36666661,25903,useless,haoshuigen,1521584711,1,136,1,0.6488815586419753,102.5926603652263,288,v4-dev
